KEY,en_US,pt_BR
DEMAND_6,Offer 6 more fruits to the altar for the final feast.,Ofereça mais 6 frutas ao altar para o banquete final.
DEMAND_7,Enter the ritual and become the main course.,Entre no ritual e se torne o prato principal.
INTERACT_SACRIFICE,Press [E] to sacrifice yourself,[E] para se sacrificar
INTERACT_START,Press [E] to ,[E] para 
INTERACT_HAND,interact,interagir
INTERACT_CAMERA,take photos,tirar fotos
INTERACT_FISHING,fish,pescar
INTERACT_AXE,cut,cortar
SWITCH_TOOLS_INFO,Press [TAB] to switch tools!,[TAB] para trocar ferramentas!
GATE_LOCKED,[ LOCKED ],[ TRANCADO ]
INTERACT_FIX,fix,consertar
INTERACT_ENTER_CAVE,enter the cave,entrar na caverna
INTERACT_UNLOCK,unlock,destrancar
INTERACT_EXIT_CAVE,exit the cave,sair da caverna
ENABLER_START,get the ,pegar 
ITEM_NAME_HAND,hand,a mão
ITEM_NAME_CAMERA,camera,a câmera
ITEM_NAME_FISHING,fishing rod,a vara de pesca
ITEM_NAME_AXE,axe,o machado
ITEM_NAME_THING,thing,a coisa
INTERACT_ESCAPE,escape,fugir
